symbol,Date,Open,High,Low,Close,Volume
GS,2024-05-28,440.87913381211496,444.4737260263593,439.8918203207171,440.7545166015625,1930800
GS,2024-05-29,435.99042092475895,439.72879044859707,432.9326192398198,438.223876953125,2315700
GS,2024-05-30,436.85449053987634,439.61254229199193,431.64695945253175,434.1832275390625,2135000
GS,2024-05-31,433.7299485675768,440.4900825783786,432.1483862817534,440.2489929199219,2638300
GS,2024-06-03,442.5152559190956,442.5152559190956,434.15428277391925,438.763916015625,1930700
GS,2024-06-04,434.44359972036165,441.39661779294147,433.19956874161386,439.072509765625,1835000
GS,2024-06-05,441.24229169445414,446.51733472491446,441.19408553356516,445.22509765625,1678900
GS,2024-06-06,445.3600896811377,447.96384020792703,440.7215272323752,441.7726745605469,1598000
GS,2024-06-07,439.20752005657886,444.72365288944053,438.30102054199074,438.6964111328125,1736100
GS,2024-06-10,436.2083688743067,439.13037463214755,434.2507218409004,437.3848876953125,1698600
GS,2024-06-11,434.9643658047035,435.755117589286,427.57737446950074,428.4356384277344,1938200
GS,2024-06-12,439.36177089151863,441.32907061698677,430.2871532056254,432.70770263671875,1733000
GS,2024-06-13,430.8079588057443,432.341285557898,426.391179620897,430.4414978027344,1849100
GS,2024-06-14,426.2368621266421,432.2544799996334,423.49808714472056,430.54754638671875,1559100
GS,2024-06-17,429.2360199775636,434.7135697781068,427.586975007201,434.13494873046875,1531600
GS,2024-06-18,433.5467117711253,441.3772990551996,432.52449398851786,441.1265563964844,1798400
GS,2024-06-20,441.6762811420217,444.0003891224128,439.0146417332948,441.7244873046875,2080600
GS,2024-06-21,442.33199685398813,442.44771517753793,433.8649294988896,434.13494873046875,3780800
GS,2024-06-24,435.16683920269537,446.9995091996624,433.96139089465464,445.6204833984375,1882200
GS,2024-06-25,443.0842528630028,447.53958547694134,440.4708489508674,441.0783996582031,1555900
GS,2024-06-26,439.17857457771066,441.6087477712645,436.3240812254568,439.6125183105469,2131700
GS,2024-06-27,433.749256480444,433.749256480444,427.01802213529305,430.0653991699219,2835200
GS,2024-06-28,434.0578226283021,441.039769649783,433.5081311493474,436.1986999511719,3839700
GS,2024-07-01,438.31064599333524,447.4816764613861,437.82846668311566,447.134521484375,1850500
GS,2024-07-02,445.06116774717754,449.65149488583256,443.21923920332756,449.0150146484375,1491800
GS,2024-07-03,452.3227832633053,453.14249399059645,449.21754727548836,451.2427062988281,993900
GS,2024-07-05,450.8087255706657,450.9147908925898,443.73033682670945,448.1856689453125,1593800
GS,2024-07-08,450.9823264344357,457.9353442093131,447.5010057598069,448.2532043457031,2214300
GS,2024-07-09,449.0053673320836,462.21706241429564,445.1286269483866,455.9776611328125,4525100
GS,2024-07-10,455.6691035689009,462.75711592266816,453.1039060933922,461.82171630859375,1946000
GS,2024-07-11,462.8921732854312,465.9395502911473,459.2951047607646,462.1496276855469,2251400
GS,2024-07-12,463.7889624369282,466.2095118778748,461.05984061867986,462.7763977050781,2727800
GS,2024-07-15,463.13322204685574,475.4287943135864,459.3336467723925,474.6862487792969,3568200
GS,2024-07-16,476.39323036597983,488.53450369736356,474.4548598289084,485.09173583984375,3981700
GS,2024-07-17,485.0724279286709,491.32148292299024,481.62966029351793,484.2816467285156,3908900
GS,2024-07-18,481.7164092710342,485.73779768231,466.96173409562726,468.88079833984375,3320200
GS,2024-07-19,471.6870575723014,475.0430359801502,465.9684183332852,467.6463928222656,2032700
GS,2024-07-22,467.2896542182197,472.0246590164642,465.18735929334633,469.6812744140625,1792500
GS,2024-07-23,469.7197647546436,478.1386257627937,468.9482896616835,474.60906982421875,2020500
GS,2024-07-24,471.8221494854077,478.31226473574577,468.5047531853977,469.3533935546875,1598600
GS,2024-07-25,468.7265104405351,478.4279561130087,466.00704141204716,474.1847839355469,1489700
GS,2024-07-26,478.05187170360443,486.0367601575689,477.9843595348533,481.243896484375,2249700
GS,2024-07-29,482.5843871390556,484.10806091549387,473.5579745244183,475.1588134765625,1599500
GS,2024-07-30,480.54949226096187,491.31173688726307,480.5398392581879,487.6471862792969,2642500
GS,2024-07-31,486.8660931758868,498.8241639617032,486.8660931758868,490.8874816894531,2658900
GS,2024-08-01,491.82294324872714,495.69968410711294,477.04896071384616,482.2950744628906,4006800
GS,2024-08-02,473.59655406165433,476.8367851030325,450.5580110493018,453.86578369140625,6115500
GS,2024-08-05,431.63723990969703,446.67158617424,421.78149435043326,442.65985107421875,4177200
GS,2024-08-06,444.5789889841831,458.31144669103776,441.1265685494121,453.4607238769531,2209300
GS,2024-08-07,462.30391920591376,471.1374187681506,455.7269859810706,456.15130615234375,2587600
GS,2024-08-08,460.83805462902063,470.34664604127653,460.15336824087194,468.45648193359375,1936400
GS,2024-08-09,467.7332093028546,474.4644430943601,465.0137403493958,472.7864685058594,1622700
GS,2024-08-12,472.7864931828422,475.30345519696556,466.5085087942169,468.1961364746094,1839300
GS,2024-08-13,472.8154302587581,475.68920031920925,469.1315730005766,474.4066162109375,1243700
GS,2024-08-14,475.33239164637536,481.55251695877365,470.99277754839284,480.9256896972656,1545600
GS,2024-08-15,487.0011283713005,488.843056962668,480.5013603527814,481.2342529296875,1732300
GS,2024-08-16,479.3344289114019,486.9143027880679,479.28622275350295,486.2874755859375,1587000
GS,2024-08-19,487.00113724360017,489.68205321796336,483.9730368381534,486.6925354003906,1027900
GS,2024-08-20,485.91136573997414,486.1910379758779,478.8040475277503,479.6141052246094,2122700
GS,2024-08-21,481.6971308583027,482.9315087151384,476.4220880278641,478.7654724121094,917100
GS,2024-08-22,479.2862220200865,481.8900020001994,477.1549977641487,480.0094909667969,943800
GS,2024-08-23,484.83132550654705,494.17596345349614,482.0346912255059,491.26361083984375,1751800
GS,2024-08-26,494.07954317531414,495.19817332580857,487.30972652762864,489.7688293457031,1084200
GS,2024-08-27,489.73988757108884,493.25016714248517,488.53443927265164,489.1805725097656,977900
GS,2024-08-28,488.54415804351214,490.25106246911906,480.70391654625547,485.39068603515625,1568100
GS,2024-08-29,487.9654960524278,494.9474435349012,483.27872695582164,491.91937255859375,1566300
GS,2024-08-30,492.6274692815222,495.8868989294896,490.04712571537726,494.97503662109375,1838900
GS,2024-09-03,492.27823287622635,494.44148561038503,470.86891965771616,472.86724853515625,2373600
GS,2024-09-04,472.1300641725514,481.3456702895517,472.1300641725514,475.9521179199219,1509400
GS,2024-09-05,478.8040649928531,480.92850702821926,468.6087148492982,473.27471923828125,1828300
GS,2024-09-06,472.03305496806774,480.57931474957616,462.77863794916834,465.2522888183594,1995600
GS,2024-09-09,470.995089469105,479.48314796850985,468.91916827018696,473.944091796875,1714200
GS,2024-09-10,474.4873079955064,474.55521956600285,447.7523522181096,453.1459045410156,3583100
GS,2024-09-11,450.0902108601815,457.763419041317,443.784796184295,457.0649719238281,2426500
GS,2024-09-12,457.19108352225953,460.1400859338197,451.4677126922706,459.86846923828125,1480500
GS,2024-09-13,461.7406569993196,467.66776218971256,461.26533521233796,464.6508483886719,1794500
GS,2024-09-16,467.0177904217684,472.7896816545226,465.13586435280297,470.6361389160156,1500300
GS,2024-09-17,473.39113576263446,475.0693567989044,467.3767283437232,470.8592834472656,1444900
GS,2024-09-18,470.8689151513506,478.23169509894876,467.34757917554396,470.0734558105469,1699500
GS,2024-09-19,479.9293166959376,491.24997336561916,478.6876363150398,488.7471923828125,3060700
GS,2024-09-20,485.21623295907744,487.0205374858357,480.6472405762876,483.5089111328125,4452600
GS,2024-09-23,483.2954788978969,486.38998479711046,480.39499760084004,482.5194396972656,953200
GS,2024-09-24,482.6940247060312,484.60505150499296,479.30851164344284,483.11114501953125,1035400
GS,2024-09-25,483.5767889200702,486.97201211208676,475.7192664691754,476.4371337890625,1763900
GS,2024-09-26,479.2114986880549,483.4797733223719,477.7370124264536,482.0440979003906,1378100
GS,2024-09-27,484.03273839556186,490.27024156230067,481.0158245652494,483.5865173339844,1420100
GS,2024-09-30,480.0748529249041,481.6560319353902,474.26415105904846,480.2882385253906,1602500
GS,2024-10-01,479.7741406040969,479.7741406040969,470.1026033455109,475.4961853027344,1528600
GS,2024-10-02,476.46622793417157,480.04573595718745,473.34262145651843,477.26165771484375,1445100
GS,2024-10-03,475.2633353608372,475.8259889252371,469.7048889096261,471.5480041503906,1290600
GS,2024-10-04,480.8024027237811,481.45232884650443,471.4509741298876,480.3367614746094,1721600
GS,2024-10-07,479.82263735687167,484.07152131813683,476.0975961096794,479.81292724609375,1173300
GS,2024-10-08,482.12171017415244,483.42159211791693,478.0280397406265,481.70458984375,1296700
GS,2024-10-09,483.28576725224946,491.1141591373232,480.42406737680636,490.0567932128906,1695900
GS,2024-10-10,491.1530257851939,491.62834759866575,484.63419552558287,488.64056396484375,1309000
GS,2024-10-11,492.79235527261363,502.46386185684975,492.59833069271957,500.8438720703125,2409700
GS,2024-10-14,502.1535890295225,507.41131865852105,500.0776381252315,507.10089111328125,2174900
GS,2024-10-15,522.6703432391066,524.3291735873695,500.0775795320287,506.7419128417969,4525400
GS,2024-10-16,514.1337479291519,520.1675155699202,510.2340730077369,513.9979248046875,2649000
GS,2024-10-17,515.3366294995035,519.2653756351659,512.4167282949774,513.1636962890625,2123500
GS,2024-10-18,513.5420819170203,514.8807746784352,511.09750222956785,512.6787109375,1779200
GS,2024-10-21,512.1937047032316,513.9882991141632,501.52300252191424,502.2990417480469,1752100
GS,2024-10-22,500.17452289852827,504.07419786257066,497.58446943530055,502.78399658203125,1588000
GS,2024-10-23,500.35889749133923,504.4331773034664,498.0307798901207,501.7170104980469,1263200
GS,2024-10-24,503.4630808289331,509.2834632662618,502.6870416788876,508.7984313964844,2058200
GS,2024-10-25,512.2421664092855,512.9697142431803,495.4503647713126,497.2546691894531,1633200
GS,2024-10-28,499.9708913166019,508.8857797414816,499.56342190297744,507.906005859375,1687100
GS,2024-10-29,505.5778800074817,511.45646468375554,505.4032756160676,508.5851135253906,1281600
GS,2024-10-30,507.731443716557,514.9001705832974,507.41130606722254,508.7015075683594,1441600
GS,2024-10-31,506.8000961389001,509.2834569128603,499.12691810626245,502.2892761230469,2061700
GS,2024-11-01,504.4331469039362,510.87438437431996,501.56173690668277,503.8025817871094,1625000
GS,2024-11-04,502.4930234156645,502.5415147616543,495.2272553882033,496.15850830078125,1797800
GS,2024-11-05,497.64264378489304,511.66978523452326,497.2545946484553,511.18475341796875,2169900
GS,2024-11-06,550.3171297614439,580.68982209362,549.1530414701302,578.1385498046875,8042800
GS,2024-11-07,572.3376820940227,577.1880014338026,564.111559440316,564.7420654296875,4475600
GS,2024-11-08,568.8647439898581,577.333440435868,563.8980225334809,571.6197509765625,2714000
GS,2024-11-11,580.9712058575358,588.9742318267097,578.3228915481194,584.3082275390625,2510800
GS,2024-11-12,580.1466077827808,584.0657031849375,573.7635717962522,574.85009765625,2392900
GS,2024-11-13,576.8290337227423,585.4819861143775,574.9083263732972,576.4312744140625,1763100
GS,2024-11-14,582.0382990663625,583.5225251488206,568.6902112678276,570.9892578125,1670500
GS,2024-11-15,575.5970630950771,577.3238051417242,569.5148031092756,575.7716674804688,2007700
GS,2024-11-18,576.9066153239041,577.2558240526342,567.2156290417148,570.3877563476562,1848900
GS,2024-11-19,562.3071065958571,567.2544670637242,558.28137770619,563.9756469726562,2217400
GS,2024-11-20,566.352422434083,570.2035476912505,559.3582404110844,564.50927734375,1528600
GS,2024-11-21,568.9521208068704,582.7173283035319,567.0119932341654,578.2647094726562,2281900
GS,2024-11-22,578.3713714478021,585.8602942673859,576.6446887882968,584.7350463867188,1733700
GS,2024-11-25,590.5650562171672,592.9999255675878,580.9032596973972,584.9775390625,2940800
GS,2024-11-26,582.1644191237199,589.013067490362,575.2478591830744,587.3736572265625,2846500
GS,2024-11-27,589.4883686690946,593.9215673835977,585.2201234319685,587.3057250976562,1424500
GS,2024-11-29,591.069583358458,594.3871850421637,588.8869397650733,590.3517456054688,1170200
GS,2024-12-02,592.7206528188045,596.5323663627692,586.189015303598,586.5887451171875,1804100
GS,2024-12-03,593.6565700126491,596.0547109740058,585.7016013324279,586.949462890625,1718100
GS,2024-12-04,587.8463536258832,589.0942152423049,581.7631769991197,583.6641845703125,1617300
GS,2024-12-05,585.4384278338542,591.3168601633115,581.3634208343582,581.8021240234375,1672800
GS,2024-12-06,582.15305100282,584.9217065946121,579.4331864876277,584.6097412109375,1405700
GS,2024-12-09,583.9370627523933,587.8462989037876,578.7994815308411,579.189453125,1633200
GS,2024-12-10,575.1729532780561,581.285403533819,569.0897776652905,570.327880859375,2600800
GS,2024-12-11,575.290017077453,578.789824960731,572.150965670761,577.668701171875,2195300
GS,2024-12-12,577.6979663200902,581.3342106602876,573.8179450938185,576.7425537109375,1218400
GS,2024-12-13,579.0724471941842,580.047316633905,570.3766284522405,570.7665405273438,1215000
GS,2024-12-16,573.2232301465549,573.4864639355104,564.1569562638864,571.59521484375,1713300
GS,2024-12-17,566.2432052893641,566.9938143152748,557.9080237764297,560.2379760742188,2314100
GS,2024-12-18,562.9774354377804,564.9076582041722,530.8067386575527,536.4219970703125,3271600
GS,2024-12-19,547.3307216339734,552.7509935469029,539.6877187525012,540.0679321289062,2753300
