symbol,Date,Open,High,Low,Close,Volume
MRF,2018-01-01,71703.96117858359,72324.4496261963,71039.9990180808,71536.8359375,7348
MRF,2018-01-02,71440.13889575757,72027.72860396227,70209.14301130964,70393.90625,7345
MRF,2018-01-03,70822.6588932458,71039.92719723882,70150.79215151299,70322.0703125,9083
MRF,2018-01-04,70643.8095786364,70787.9166291965,70003.76091945046,70368.0,4477
MRF,2018-01-05,70536.11579031404,72126.85884147535,70447.19226571496,72033.8828125,9189
MRF,2018-01-08,72028.05295463465,72690.03917520537,71422.33865043474,71742.015625,6757
MRF,2018-01-09,72092.27290219131,72393.6248275688,71158.5759530709,72151.6015625,5587
MRF,2018-01-10,72166.3902599284,72237.87644688474,71237.63332065768,71614.5703125,9006
MRF,2018-01-11,71830.44455824536,71830.44455824536,71089.46152706798,71447.0390625,4998
MRF,2018-01-12,71445.1009141926,72225.65173319705,70955.13391225126,71110.109375,11548
MRF,2018-01-15,71110.10168697643,71632.77426749759,70496.57584155786,70678.375,6503
MRF,2018-01-16,70546.96631783168,71040.49175411068,69053.64585084753,69443.8671875,7410
MRF,2018-01-17,69636.9950016985,69905.39427644887,68897.59440553894,69578.5,4005
MRF,2018-01-18,69953.1625519333,70001.53014953993,67780.9124541237,67981.484375,7680
MRF,2018-01-19,68273.4979385375,68569.80930401402,67680.67451215368,68328.828125,7715
MRF,2018-01-22,68328.83670680932,69042.49431028137,68051.19770058262,68843.8984375,3327
MRF,2018-01-23,68767.51024730956,69613.27158023624,68700.12290395703,69094.2578125,6857
MRF,2018-01-24,68866.31854230019,69332.13261811099,67878.27953882386,68070.453125,6431
MRF,2018-01-25,68224.0838938987,68609.37273842713,66253.48668430495,66735.75,7157
MRF,2018-01-29,66361.65331260953,67628.91394283116,65951.61704186237,66106.4921875,7203
MRF,2018-01-30,66495.00909759087,67627.30152590942,66208.47785482265,67445.0546875,6008
MRF,2018-01-31,67576.92808082208,67975.8488310616,66411.78307841971,67298.6484375,8102
MRF,2018-02-01,67300.27368972609,71879.83426451696,66396.21804227546,70918.125,29028
