symbol,Date,Open,High,Low,Close,Volume,PWL,gap_to_pwl_pct,overnight_move_pct,mom_3d,volatility_5d,target_1_breach,target_2_fall,target_3_ev
QQQ,2018-01-16,156.94225609550432,157.7384326803737,154.9991947330953,155.46363830566406,41231800,148.02318684774454,0.060254541451900116,,,,0,,
QQQ,2018-01-17,156.20302639518198,157.37833115078334,155.44475639824088,157.14137268066406,33849900,148.02318684774454,0.05526052858091183,0.004756019462661566,,,0,,
QQQ,2018-01-18,156.89487422094967,157.52992091472206,156.52521974359584,157.1697540283203,26432200,148.02318684774454,0.059934443799879,-0.0015686413801113458,,,0,,
QQQ,2018-01-19,157.63419432454305,157.91854728018592,156.90435844637778,157.66262817382812,38937600,148.02318684774454,0.06492906740809674,0.0029550233700756825,,,0,,
QQQ,2018-01-22,157.6057669013891,159.3497772216797,157.42567620671264,159.3497772216797,26081400,152.71491862258435,0.03202600193168991,-0.0003606515576813211,0.014144721506134633,,0,,
QQQ,2018-01-23,159.84268661036114,160.8094811066508,159.76685817312315,160.66729736328125,37989700,152.71491862258435,0.04667368487680088,0.003093254331920041,0.014053616201402604,,0,,
QQQ,2018-01-24,161.00847790933233,161.35918615186537,158.705249362181,159.62464904785156,54287400,152.71491862258435,0.05430745968731754,0.0021235220337318676,0.022253285033014162,0.0047533995262562835,0,,
QQQ,2018-01-25,160.72413759725012,160.78100529464004,159.0559413389227,159.56777954101562,28925000,152.71491862258435,0.052445557034670236,0.006887962203562672,0.012444425776413205,0.006799805868842381,0,,
QQQ,2018-01-26,160.45872202027394,162.0321290539717,160.14594970194736,162.01316833496094,32038200,152.71491862258435,0.050707576362119686,0.0055834735672893425,0.0013680742021538145,0.006862549844102057,0,,
QQQ,2018-01-29,161.67203031760192,161.9942903626686,160.8853264691412,161.22654724121094,37277800,154.9991947330953,0.043050775818526565,-0.0021056190732207302,0.008376757397222961,0.008793295854892176,0,,
QQQ,2018-01-30,159.75738211363358,160.58199285143843,159.06546752286397,159.89955139160156,44987700,154.9991947330953,0.030698142585397086,-0.009112426909318712,0.010035406203957669,0.009229696658063962,0,,
QQQ,2018-01-31,160.79994665501974,161.12222103506798,159.55828709051298,160.56298828125,42449200,154.9991947330953,0.0374244003777774,0.005631005563067937,0.0020791907460281367,0.009541637171482778,0,,
QQQ,2018-02-01,159.33083149942797,160.87579040901403,158.6862971406691,159.19813537597656,38037900,154.9991947330953,0.027946188841765585,-0.007673977639627142,-0.008951001135368834,0.00916842456646033,0,,
QQQ,2018-02-02,158.57253184425852,158.95165942184832,155.89016156758018,156.02285766601562,68478100,154.9991947330953,0.023053907585238897,-0.003929716452021003,-0.01258112823193856,0.010182766568307314,0,,
